dataset,metric,SparseVLM-v1-192,SparseVLM-v2-192,FastV-k2-r0.5,PDROP-v1.5,VisionZip-64,DivPrune-r0.098
gqa,accuracy,59.42,60.89,60.05,60.22,55.15,57.01
textvqa,accuracy,57.72400000000017,57.96400000000015,58.26800000000014,57.43600000000016,55.49800000000006,54.21400000000005
pope,macro_f1,0.8537826586209353,0.8475071699583566,0.8235762873509271,0.8474699952298876,0.7707536119102074,0.8525803933994037
mme,overall_total_score,1782.8784513805522,1862.8404361744697,1867.8980592236894,1857.2136854741896,1695.1281512605042,1606.9869947979191
scienceqa,accuracy,69.8420183918887,,69.95991511435982,70.12497052581938,69.98349445885404,69.67696298042915
