dataset,metric,SparseVLM-v1-192,SparseVLM-v2-192,FastV-sv1compute,PDROP-sv1compute,VisionZip-sv1compute,DivPrune-sv1compute
gqa,accuracy,59.42,60.89,56.99,57.16,59.07,60.01
textvqa,accuracy,57.72400000000017,57.96400000000015,57.626000000000154,55.98800000000011,57.40200000000011,56.50200000000009
pope,macro_f1,0.8537826586209353,0.8475071699583566,0.7562360743069103,0.796310975288344,0.8565923725694957,0.8701412720810019
mme,overall_total_score,1782.8784513805522,1862.8404361744697,1820.3938575430172,1769.0346138455382,1760.141456582633,1775.3405362144858
scienceqa,accuracy,69.8420183918887,,70.00707380334826,70.31360528177316,69.81843904739449,69.86559773638294
