dataset,metric_name,fastv,pdrop,pdrop_minus_fastv,winner,fastv_answers,pdrop_answers
gqa,accuracy,60.05,60.22,0.1700000000000017,pdrop,12578,12578
textvqa,accuracy,58.26800000000014,57.43600000000016,-0.8319999999999794,fastv,5000,5000
pope,macro_f1,0.8235762873509271,0.8474699952298876,0.023893707878960502,pdrop,8910,8910
mme,overall_total_score,1867.8980592236894,1857.2136854741896,-10.684373749499855,fastv,2374,2374
scienceqa,accuracy,69.95991511435982,70.12497052581938,0.16505541145956215,pdrop,4241,4241
