dataset,method,variant,metric_name,metric_value,baseline,layer_index,subset_ratio,visual_token_count,retained_visual_tokens,answers_count,expected_answers,complete,official_repo_commit,run_dir,summary_path
gqa,divprune,divprune_r0p098,accuracy,57.01,OURS,0,0.098,576,56,12578,12578,True,799e2d950aa01ba7860907f5a6d86061f885dca6,algo_compare/divprune/outputs/official_gqa_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_gqa_divprune_r0p098_full_20260526_140456/official_summary.json
textvqa,divprune,divprune_r0p098,accuracy,54.21400000000005,OURS,0,0.098,576,56,5000,5000,True,799e2d950aa01ba7860907f5a6d86061f885dca6,algo_compare/divprune/outputs/official_textvqa_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_textvqa_divprune_r0p098_full_20260526_140456/official_summary.json
pope,divprune,divprune_r0p098,macro_f1,0.8525803933994037,OURS,0,0.098,576,56,8910,8910,True,799e2d950aa01ba7860907f5a6d86061f885dca6,algo_compare/divprune/outputs/official_pope_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_pope_divprune_r0p098_full_20260526_140456/official_summary.json
mme,divprune,divprune_r0p098,overall_total_score,1606.9869947979191,OURS,0,0.098,576,56,2374,2374,True,799e2d950aa01ba7860907f5a6d86061f885dca6,algo_compare/divprune/outputs/official_mme_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_mme_divprune_r0p098_full_20260526_140456/official_summary.json
scienceqa,divprune,divprune_r0p098,accuracy,69.67696298042915,OURS,0,0.098,576,56,4241,4241,True,799e2d950aa01ba7860907f5a6d86061f885dca6,algo_compare/divprune/outputs/official_scienceqa_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_scienceqa_divprune_r0p098_full_20260526_140456/official_summary.json
