source,dataset,strategy,prune_layers,prune_ratio,metric_name,metric_value,run_dir
keep_position_ids_summary,gqa,sparsevlm,[2],[0.2],accuracy,61.9,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l2_r0p2__20260323_194603_194768
keep_position_ids_summary,gqa,entropy,[1],[0.2],accuracy,61.89,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l1_r0p2__20260323_173805_319013
keep_position_ids_summary,gqa,sparsevlm,[1],[0.2],accuracy,61.88,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l1_r0p2__20260323_173810_202716
keep_position_ids_summary,gqa,random,[1],[0.2],accuracy,61.87,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l1_r0p2__20260323_173807_842943
keep_position_ids_summary,gqa,random,[2],[0.2],accuracy,61.87,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l2_r0p2__20260323_194600_903333
keep_position_ids_summary,gqa,random,[3],[0.2],accuracy,61.87,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l3_r0p2__20260324_052954_977861
keep_position_ids_summary,gqa,attn_score,[2],[0.2],accuracy,61.82,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l2_r0p2__20260323_194441_661573
keep_position_ids_summary,gqa,attn_score,[3],[0.2],accuracy,61.82,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l3_r0p2__20260324_052945_668917
keep_position_ids_summary,gqa,pre_attn_score,[3],[0.2],accuracy,61.81,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l3_r0p2__20260324_052948_028253
keep_position_ids_summary,gqa,pre_attn_score,[2],[0.2],accuracy,61.77,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l2_r0p2__20260323_194554_007067
keep_position_ids_summary,gqa,random,[1],[0.3],accuracy,61.7,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l1_r0p3__20260323_173821_966893
keep_position_ids_summary,gqa,random,[3],[0.3],accuracy,61.66,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l3_r0p3__20260324_053008_939210
