dataset,method,variant,metric_name,metric_value,dominant,contextual,retained_visual_tokens,answers_count,official_repo_commit,run_dir,summary_path
gqa,visionzip,visionzip_64,accuracy,55.15,54,10,64,12578,8f86b55c6f000eb033e6912538af2dd7dcb30502,algo_compare/visionzip/outputs/official_gqa_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_gqa_visionzip_64_full_20260526_112201/official_summary.json
textvqa,visionzip,visionzip_64,accuracy,55.49800000000006,54,10,64,5000,8f86b55c6f000eb033e6912538af2dd7dcb30502,algo_compare/visionzip/outputs/official_textvqa_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_textvqa_visionzip_64_full_20260526_112201/official_summary.json
pope,visionzip,visionzip_64,macro_f1,0.7707536119102074,54,10,64,8910,8f86b55c6f000eb033e6912538af2dd7dcb30502,algo_compare/visionzip/outputs/official_pope_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_pope_visionzip_64_full_20260526_112201/official_summary.json
mme,visionzip,visionzip_64,overall_total_score,1695.1281512605042,54,10,64,2374,8f86b55c6f000eb033e6912538af2dd7dcb30502,algo_compare/visionzip/outputs/official_mme_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_mme_visionzip_64_full_20260526_112201/official_summary.json
scienceqa,visionzip,visionzip_64,accuracy,69.98349445885404,54,10,64,4241,8f86b55c6f000eb033e6912538af2dd7dcb30502,algo_compare/visionzip/outputs/official_scienceqa_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_scienceqa_visionzip_64_full_20260526_112201/official_summary.json
